Column 1,Column 2
Birmingham, Alabama
Phoenix, Arizona
Brisbane, Australia
Sydney, Australia
Dhaka, Bangladesh
Dziatlava, Belarus
Minsk, Belarus
Santa Cruz de la Sierra, Bolivia
Sarajevo, Bosnia and Herzegovina
Rio de Jeneiro, Brazil
Los Angeles, CA
Phnom Penh, Cambodia
Toronto, Canada
Ottawa, Canada
Santiago, Chile
Beijing, China
Denver, CO
Bogota, Columbia
Zagrep, Croatia
Bridgeport, CT
Prague, Czechia
Washington, DC
copenhagen, denmark
Santo Domingo, Dominican Republic
Wilmington, DW
Cairo, Egypt
London, England
Miami, FL
Paris, France
Atlanta, GA
Tbilisi, Georgia
Berlin, Germany
Bremen, Germany
Honolulu, HI
Tegucigalpa, Honduras
Budapest, Hungary
Boise, Idaho
Chicago, IL
Hyderabad, India
Dehli, India
Indianapolis, Indiana
Bagdad, Iraq
Jerusalem, Israel
Kingston, Jamaica
Tokyo, Japan
Tokyo, Japan
Amman, Jordan
Nairobi, Kenya
Wichita, KS
Kuwait city, Kuwait
Louisville, KY
Vientiane, Laos
Riga, Latvia
Beirut, Lebanon
Boston, MA
Kuala Lumpur, Malaysia
Baltimore, MD
Mexico City, Mexico
Detroit, MI
Grand Rapids, MI
Gulfport, Mississippi
Kansas City, MO
Casablanca, Morocco
Maputo, Mozambique
Charlotte, NC
Fargo, ND
Kathmandu, Nepal
Amsterdam, Netherlands
Albuquerque, New Mexico
Wellington, New Zealand
Concord, NH
Managua, Nicaragua
Newark, NJ
Oslo, Norway
Las Vegas, NV
Buffalo, NY
Orchard Park, NY
Amherst, NY
New York, NY
Long Island, NY
Canandaigua, NY
Rochester, NY
Fairport, NY
Houghton, NY
Cleveland, OH
Oklahoma city, OK
Portland, OR
Pittsburgh, PA
Hummelstown, PA
Manila, Philippines
Warsaw, Poland
Lissabon, Portugal
San Juan, Puerto Rico
Providence, RI
Bucharest, Romania
Moscow, Russia
Ust-Ulimsk, Russia
Charleston, SC
Dakar, Senegal
Belgrade, Serbia
Cape Town, South Africa
Seoul, South Korea
Juba, South Sudan
Malaga, Spain
Bern, Switzerland
Taipei, Taiwan
Bangkok, Thailand
Nashville, TN
Port of Spain, Trinidad and Tobago
Ankara, Turkey
Dallas, TX
Dubai, UAE
Kampala, Uganda
Kiev, Ukraine
Charlotte Amalie, US Virgin Islands
Richmond, VA
Burlington, VT
Seattle, WA
Milwaukee, WI
Harare, Zimbabwe
Hong Kong,
